工作节点id,机器id,机器name,upload_bandwidth,download_bandwidth,network_latency,free_memory,cuda_version,gpu_free_memory,gpu_name
2396,7d389824-4a05-4c10-9a97-e5f57adb0b1c,LAPTOP-R9000K,0.0,0.0,71.0,9.2279052734375,12.5,3.3873558044433594,NVIDIA GeForce RTX 3080 Laptop GPU
2398,017e9760-083d-4432-b629-aa85d31f8e3d,DESKTOP-GPTIHES,0.0,0.0,57.0,22.5252685546875,12.5,13.930132865905762,NVIDIA GeForce RTX 4080 SUPER
2400,341f9477-e28e-4dc8-bf81-e82e90f559f6,2cpu,0.0,0.0,29.0,41.618587493896484,12.5,5.634742736816406,NVIDIA GeForce GTX 1070 Ti
2658,8a7fd222-8a35-430e-a421-4370d11a4486,DEEP-2023YBHBJH,0.0,0.0,27.0,4.203304290771484,Unknown,1.7811317443847656,NVIDIA GeForce GT 720
2660,2ef719e2-b364-4405-9c3b-664554b929e0,DESKTOP-OJNCK7R,0.0,0.0,102.0,43.21681594848633,12.5,13.751331329345703,NVIDIA GeForce RTX 3090
2664,7300fc80-80f6-4ff4-8c67-e496ca57f71f,NEX-COM,0.0,0.0,14.0,13.29598617553711,12.4,18.459670066833496,NVIDIA GeForce RTX 3090
2852,133492cf-2d40-4a3b-a57f-301d6db99bea,ROG,0.0,0.0,34.0,18.24817657470703,12.5,15.553421020507812,NVIDIA GeForce RTX 4090 Laptop GPU
2874,af1b703e-5c8c-4a07-9c68-659e257b4e9d,WIN-20240622QI5,0.0,0.0,26.0,26.695571899414062,12.2,3.1745424270629883,NVIDIA GeForce GTX 1060 6GB
2878,c9f19f83-2cc2-4147-ac7b-aa69017cd505,热风坡,0.0,0.0,41.0,20.897315979003906,12.5,2.129696846008301,NVIDIA GeForce RTX 4060
2881,d76568e4-84b8-4489-a19d-4fdd93b10b55,DESKTOP-CIED8GJ,0.0,0.0,41.0,109.81886291503906,12.5,11.325698852539062,NVIDIA GeForce RTX 3060
2891,b4d3350d-a0d1-4446-8635-4e0dfe8bd5dd,DESKTOP-R1RBRL4,0.0,0.0,17.0,5.810138702392578,12.5,6.4547576904296875,NVIDIA GeForce RTX 3060 Ti
2909,f573c364-4bf7-4a86-8333-611e09851694,DESKTOP-8DHP3L1,0.0,0.0,26.0,8.72283935546875,12.5,6.247027397155762,NVIDIA GeForce RTX 4060 Laptop GPU
